City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
106,Saskylakh,71.9167,114.0833,47.57,58,100,3.22,RU,overcast clouds
107,Porto Novo,6.4965,2.6036,78.62,66,100,14.54,BJ,overcast clouds
108,Tsabong,-26.0217,22.401,78.49,11,0,13.0,BW,clear sky
109,Omboue,-1.5746,9.2618,78.22,65,67,10.67,GA,broken clouds
110,Kajiado,-1.8524,36.7768,69.01,46,99,11.23,KE,overcast clouds
111,Tumut,-35.3,148.2167,47.03,93,93,2.84,AU,overcast clouds
112,Palmer,42.1584,-72.3287,75.67,53,40,8.05,US,scattered clouds
113,Mae Sai,20.4335,99.8762,72.21,100,100,2.08,TH,overcast clouds
114,Vilhena,-12.7406,-60.1458,75.42,46,0,12.66,BR,clear sky
115,Wundanyi,-3.4019,38.364,67.75,52,59,16.62,KE,broken clouds
116,Ampanihy,-24.7,44.75,82.71,21,0,5.19,MG,clear sky
117,Tual,-5.6667,132.75,80.56,82,100,16.44,ID,overcast clouds
118,Lichinga,-13.3128,35.2406,68.09,49,75,10.36,MZ,broken clouds
119,Mahebourg,-20.4081,57.7,69.26,77,75,16.11,MU,broken clouds
120,Kigoma,-4.8769,29.6267,80.74,48,6,9.04,TZ,clear sky
121,Touba,8.2833,-7.6833,81.84,65,100,7.23,CI,light rain
122,Turochak,52.2576,87.1224,65.53,76,62,2.42,RU,broken clouds
123,Atar,20.5169,-13.0499,102.4,28,3,7.74,MR,clear sky
124,Bambous Virieux,-20.3428,57.7575,69.22,77,75,16.11,MU,broken clouds
125,Bathsheba,13.2167,-59.5167,88.41,66,40,23.02,BB,scattered clouds
126,Flinders,-34.5833,150.8552,56.17,84,100,1.99,AU,light rain
127,Liverpool,53.4106,-2.9779,91.71,32,0,6.91,GB,clear sky
128,Grindavik,63.8424,-22.4338,53.55,82,75,12.66,IS,broken clouds
129,Tasiilaq,65.6145,-37.6368,41.16,64,19,2.17,GL,few clouds
130,Alberton,46.8168,-64.0654,69.93,71,55,6.08,CA,broken clouds
131,Port Alfred,-33.5906,26.891,59.18,84,99,7.0,ZA,overcast clouds
132,Flin Flon,54.7682,-101.865,62.44,88,100,8.05,CA,overcast clouds
133,Iqaluit,63.7506,-68.5145,42.53,75,75,6.91,CA,broken clouds
134,Port Elizabeth,-33.918,25.5701,61.09,73,20,27.63,ZA,few clouds
135,Phan Thiet,10.9333,108.1,79.07,84,56,8.55,VN,broken clouds
136,Acapulco,16.8634,-99.8901,78.62,89,100,5.75,MX,overcast clouds
137,Linjiang,41.8069,126.9078,64.9,99,100,1.59,CN,overcast clouds
138,Tak Bai,6.2595,102.0546,73.38,89,95,2.3,TH,light rain
139,Komsomolskiy,40.4272,71.7189,88.52,27,0,4.61,UZ,clear sky
140,Richards Bay,-28.783,32.0377,88.14,29,0,2.51,ZA,clear sky
141,Mayo,38.8876,-76.5119,78.17,64,40,9.22,US,scattered clouds
142,Bilibino,68.0546,166.4372,51.78,92,100,3.8,RU,light rain
143,Belyy,55.8402,32.9419,77.95,39,15,2.44,RU,few clouds
144,Hithadhoo,-0.6,73.0833,82.96,76,100,13.0,MV,overcast clouds
145,Norman Wells,65.282,-126.8329,48.24,81,20,3.44,CA,few clouds
146,Klaksvik,62.2266,-6.589,54.52,81,100,15.9,FO,overcast clouds
147,Cocal,-28.6167,-49.35,65.89,63,3,5.7,BR,clear sky
148,Novaya Ladoga,60.1025,32.3019,73.81,55,30,4.99,RU,scattered clouds
149,Canutama,-6.5339,-64.3831,88.43,44,6,4.5,BR,clear sky
150,Wukari,7.85,9.7833,78.22,84,99,5.91,NG,light rain
151,Tura,25.5198,90.2201,77.11,87,40,3.65,IN,scattered clouds
152,Geraldton,-28.7667,114.6,52.21,71,9,14.97,AU,clear sky
153,Luderitz,-26.6481,15.1594,63.86,59,3,12.24,NA,clear sky
154,Mount Isa,-20.7333,139.5,60.57,59,0,6.91,AU,clear sky
155,Itaituba,-4.2761,-55.9836,84.36,79,40,3.44,BR,scattered clouds
156,Bayan,46.0833,127.4,67.05,69,79,4.85,CN,broken clouds
157,Nishihara,26.1842,127.7558,85.28,80,0,3.44,JP,clear sky
158,Sinjar,36.3209,41.8754,101.43,15,0,9.28,IQ,clear sky
159,Saldanha,-33.0117,17.9442,60.85,60,21,12.06,ZA,few clouds
160,Lebork,54.5392,17.7501,85.91,40,4,7.09,PL,clear sky
161,Vestmannaeyjar,63.4427,-20.2734,54.59,71,0,13.8,IS,clear sky
162,Bairiki,1.3292,172.9752,80.6,89,20,8.05,KI,light rain
163,Jamestown,42.097,-79.2353,70.18,51,0,3.44,US,clear sky
164,Ust-Kuyga,70.0167,135.6,42.48,70,100,9.24,RU,overcast clouds
165,Kununurra,-15.7667,128.7333,66.18,72,5,0.0,AU,clear sky
166,Carnarvon,-24.8667,113.6333,68.41,69,26,11.86,AU,scattered clouds
167,Coihaique,-45.5752,-72.0662,38.01,87,75,8.05,CL,broken clouds
168,Atuona,-9.8,-139.0333,76.41,66,98,22.75,PF,overcast clouds
169,Khust,48.1793,23.2991,84.65,34,74,6.44,UA,broken clouds
170,Kampot,10.6167,104.1833,78.85,85,68,4.94,KH,broken clouds
171,Kachug,53.9606,105.8817,61.84,69,80,1.97,RU,broken clouds
172,Lavrentiya,65.5833,-171.0,45.19,94,70,9.04,RU,broken clouds
173,Vysokopillya,47.4919,33.5306,86.83,42,19,12.88,UA,light rain
174,Mantena,-18.7817,-40.9803,77.79,46,41,5.39,BR,scattered clouds
175,Tairua,-37.0167,175.85,44.98,82,7,8.08,NZ,clear sky
176,Chokurdakh,70.6333,147.9167,37.65,76,99,8.41,RU,overcast clouds
177,Ponta Delgada,37.7333,-25.6667,79.52,61,20,12.66,PT,few clouds
178,Kismayo,-0.3582,42.5454,77.52,75,58,18.45,SO,broken clouds
179,Port Hedland,-20.3167,118.5667,68.05,49,4,8.05,AU,clear sky
180,Deputatskiy,69.3,139.9,43.36,88,100,3.83,RU,overcast clouds
181,Te Anau,-45.4167,167.7167,35.76,96,84,1.66,NZ,broken clouds
182,Lodja,-3.4833,23.4333,99.43,16,99,2.19,CD,overcast clouds
183,Huarmey,-10.0681,-78.1522,64.08,77,22,7.23,PE,few clouds
184,Yellowknife,62.456,-114.3525,59.52,72,20,5.75,CA,few clouds
185,Ostrovnoy,68.0531,39.5131,56.35,64,53,23.38,RU,broken clouds
186,Barrow,71.2906,-156.7887,51.82,82,100,17.27,US,light rain
187,Tabuk,17.4189,121.4443,75.43,94,100,4.9,PH,overcast clouds
188,Den Helder,52.9599,4.7593,89.98,61,0,11.5,NL,clear sky
189,Korla,41.7597,86.1469,84.99,28,99,16.51,CN,overcast clouds
190,Leh,34.1667,77.5833,69.19,41,81,6.33,IN,broken clouds
191,Port Hardy,50.6996,-127.4199,53.78,100,100,2.3,CA,fog
192,Puerto Escondido,15.85,-97.0667,81.43,74,75,0.0,MX,broken clouds
193,Kapaa,22.0752,-159.319,73.72,91,40,11.5,US,scattered clouds
194,Urumqi,43.801,87.6005,67.15,83,40,6.71,CN,scattered clouds
195,Abha,18.2164,42.5053,76.82,73,75,9.22,SA,broken clouds
196,Umm Lajj,25.0213,37.2685,89.37,64,99,11.79,SA,overcast clouds
197,Kyaikto,17.3,97.0167,76.12,91,100,4.43,MM,overcast clouds
198,Khasan,42.4308,130.6434,69.75,84,100,5.19,RU,moderate rain
199,Airai,-8.9266,125.4092,58.37,91,16,2.93,TL,few clouds
200,Muros,42.7762,-9.0603,67.57,80,70,5.21,ES,broken clouds
201,Nova Odesa,47.3078,31.7851,87.03,38,87,11.5,UA,overcast clouds
202,Goiania,-16.6786,-49.2539,80.29,26,0,3.44,BR,clear sky
203,Los Llanos De Aridane,28.6585,-17.9182,73.15,77,75,14.97,ES,broken clouds
204,Kahului,20.8947,-156.47,77.02,77,0,12.66,US,clear sky
205,Nouadhibou,20.931,-17.0347,78.78,69,79,17.27,MR,broken clouds
206,Longyearbyen,78.2186,15.6401,48.04,71,0,4.61,SJ,clear sky
207,Isangel,-19.55,169.2667,71.13,62,17,16.02,VU,few clouds
208,Laguna,38.421,-121.4238,68.02,80,0,5.75,US,clear sky
209,Mar Del Plata,-38.0023,-57.5575,55.94,75,0,12.66,AR,clear sky
